symbol,name,engname,tradetype,lasttrade,prevclose,open,high,low,volume,amount,ticktime,buy,sell,pricechange,changepercent
00001,长和,CKH HOLDINGS,,43.40000,43.55000,43.45000,43.85000,43.05000,2391191,104221992,2025/05/29 13:46:34,43.40000,43.45000,-0.15000,-0.34443
00002,中电控股,CLP HOLDINGS,,66.20000,66.40000,66.25000,66.40000,66.05000,2100338,139051667,2025/05/29 13:46:29,66.15000,66.20000,-0.20000,-0.30121
00003,香港中华煤气,HK & CHINA GAS,,6.94000,6.97000,6.97000,6.97000,6.92000,13962681,96926910,2025/05/29 13:46:33,6.94000,6.95000,-0.03000,-0.43042
00004,九龙仓集团,WHARF HOLDINGS,,19.40000,20.25000,20.05000,20.45000,19.40000,868173,17190880,2025/05/29 13:47:02,19.40000,19.46000,-0.85000,-4.19753
00005,汇丰控股,HSBC HOLDINGS,,91.95000,91.95000,91.65000,92.55000,91.55000,7171679,659668228,2025/05/29 13:46:48,91.90000,91.95000,0.00000,0.00000
00006,电能实业,POWER ASSETS,,48.85000,49.05000,49.00000,49.10000,48.65000,1189079,58063615,2025/05/29 13:46:39,48.80000,48.85000,-0.20000,-0.40775
00007,智富资源投资,WISDOM WEALTH,,0.03200,0.03200,0.00000,0.00000,0.00000,0,0,2025/05/29 08:55:00,0.00000,0.00000,0.00000,0.00000
00008,电讯盈科,PCCW,,5.20000,5.14000,5.14000,5.30000,5.14000,9468025,49421017,2025/05/29 13:46:29,5.19000,5.20000,0.06000,1.16732
00009,金奥国际,KEYNE LTD,,0.01300,0.01300,0.00000,0.00000,0.00000,0,0,2025/05/29 08:55:00,0.00000,0.00000,0.00000,0.00000
00010,恒隆集团,HANG LUNG GROUP,,11.18000,11.22000,11.28000,11.28000,11.16000,149000,1672380,2025/05/29 13:41:25,11.16000,11.18000,-0.04000,-0.35651
00011,恒生银行,HANG SENG BANK,,108.80000,108.40000,108.00000,109.00000,108.00000,563470,61170986,2025/05/29 13:45:13,108.80000,108.90000,0.40000,0.36900
00012,恒基地产,HENDERSON LAND,,24.25000,24.25000,24.25000,24.55000,24.15000,2968006,72144677,2025/05/29 13:47:02,24.25000,24.30000,0.00000,0.00000
00013,和黄医药,HUTCHMED,,21.75000,21.05000,21.05000,21.80000,20.90000,3365500,72181925,2025/05/29 13:47:06,21.70000,21.75000,0.70000,3.32542
00014,希慎兴业,HYSAN DEV,,12.74000,12.68000,12.66000,12.74000,12.64000,244000,3099420,2025/05/29 13:42:32,12.70000,12.74000,0.06000,0.47319
00016,新鸿基地产,SHK PPT,,82.90000,82.85000,83.50000,84.00000,82.85000,1558847,130003894,2025/05/29 13:47:05,82.90000,82.95000,0.05000,0.06035
00017,新世界发展,NEW WORLD DEV,,4.61000,4.55000,4.56000,4.66000,4.55000,4100865,18916219,2025/05/29 13:46:38,4.61000,4.62000,0.06000,1.31868
00018,东方企控集团,ORIENTAL E H,,0.40000,0.40000,0.00000,0.00000,0.00000,0,0,2025/05/29 11:00:10,0.40500,0.41000,0.00000,0.00000
00019,太古股份公司Ａ,SWIRE PACIFIC A,,66.45000,66.90000,66.65000,67.60000,66.25000,503117,33647324,2025/05/29 13:46:48,66.45000,66.60000,-0.45000,-0.67265
00020,商汤－Ｗ,SENSETIME-W,,1.42000,1.38000,1.38000,1.42000,1.37000,153535000,215132240,2025/05/29 13:46:48,1.41000,1.42000,0.04000,2.89855
00021,大中华控股,GREAT CHI HLDGS,,0.11600,0.11600,0.00000,0.00000,0.00000,0,0,2025/05/29 10:15:23,0.11300,0.12100,0.00000,0.00000
00022,茂盛控股,MEXAN,,0.17700,0.17000,0.17000,0.19800,0.17000,10663120,1955916,2025/05/29 13:45:35,0.17700,0.17800,0.00700,4.11765
00023,东亚银行,BANK OF E ASIA,,11.08000,11.20000,11.22000,11.22000,11.04000,608531,6749400,2025/05/29 13:45:37,11.06000,11.08000,-0.12000,-1.07143
00025,CHEVALIER INT'L,CHEVALIER INT'L,,3.90000,3.97000,3.85000,3.90000,3.85000,4200,16260,2025/05/29 13:11:15,3.90000,4.06000,-0.07000,-1.76322
00026,中华汽车,CHINA MOTOR BUS,,58.55000,59.75000,59.75000,59.75000,58.55000,9800,578770,2025/05/29 13:41:30,58.80000,59.70000,-1.20000,-2.00837
00027,银河娱乐,GALAXY ENT,,34.10000,33.45000,33.20000,34.25000,33.20000,9854357,333466554,2025/05/29 13:46:36,34.10000,34.15000,0.65000,1.94320
00028,天安,TIAN AN,,4.16000,4.24000,4.20000,4.20000,4.16000,19000,79130,2025/05/29 13:16:08,4.17000,4.25000,-0.08000,-1.88679
00029,达力集团,DYNAMIC HOLD,,13.48000,13.66000,13.60000,13.60000,13.38000,52000,700840,2025/05/29 13:36:29,13.42000,13.48000,-0.18000,-1.31772
00030,云白国际,YNBY INTL,,0.19500,0.19500,0.19500,0.20400,0.19200,291600,56962,2025/05/29 13:25:41,0.19300,0.19500,0.00000,0.00000
00031,航天控股,CHINA AEROSPACE,,0.40500,0.40000,0.40000,0.40500,0.39500,1368400,547930,2025/05/29 13:43:40,0.40000,0.40500,0.00500,1.25000
00032,港通控股,CROSS-HAR(HOLD),,8.20000,8.20000,0.00000,0.00000,0.00000,0,0,2025/05/29 13:00:17,8.10000,8.28000,0.00000,0.00000
00033,INTL GENIUS,INTL GENIUS,,0.78000,0.81000,0.80000,0.80000,0.77000,278000,216200,2025/05/29 13:44:04,0.77000,0.78000,-0.03000,-3.70370
00034,九龙建业,KOWLOON DEV,,3.00000,3.02000,3.00000,3.06000,2.95000,227330,682690,2025/05/29 13:41:54,3.01000,3.03000,-0.02000,-0.66225
00035,远东发展,FE CONSORT INTL,,0.93000,0.94000,0.94000,0.94000,0.93000,85000,79750,2025/05/29 13:27:12,0.93000,0.94000,-0.01000,-1.06383
00036,远东控股国际,FE HLDGS INTL,,0.42000,0.42000,0.00000,0.00000,0.00000,0,0,2025/05/29 13:00:07,0.37500,0.41000,0.00000,0.00000
00037,远东酒店实业,FE HOTELS,,0.52000,0.51000,0.51000,0.52000,0.51000,136000,70220,2025/05/29 13:06:07,0.51000,0.53000,0.01000,1.96078
00038,第一拖拉机股份,FIRST TRACTOR,,6.46000,6.47000,6.43000,6.52000,6.42000,1789926,11582244,2025/05/29 13:46:55,6.46000,6.49000,-0.01000,-0.15456
00039,中国北大荒,CH BEIDAHUANG,,0.11900,0.11700,0.11900,0.11900,0.11900,24000,2856,2025/05/29 13:47:00,0.11600,0.11800,0.00200,1.70940
00040,金山科技工业,GOLD PEAK,,0.59000,0.59000,0.59000,0.59000,0.56000,59000,34690,2025/05/29 13:25:52,0.57000,0.60000,0.00000,0.00000
00041,鹰君,GREAT EAGLE H,,13.68000,13.76000,13.80000,13.80000,13.64000,353000,4838540,2025/05/29 13:45:46,13.66000,13.72000,-0.08000,-0.58140
00042,东北电气,NE ELECTRIC,,0.24700,0.23700,0.24500,0.25500,0.24000,226000,54958,2025/05/29 13:31:21,0.24100,0.24600,0.01000,4.21941
